season,season_year,player,matches,innings_batted,balls_faced,actual_runs,expected_runs,runs_above_expected,strike_rate,runs_above_expected_per_ball,runs_above_expected_per_30_balls,runs_above_expected_per_100_balls
2026,2026,V Suryavanshi,5,5,76,200,115.39,84.61,263.16,1.11,33.4,111.33
2026,2026,Ishan Kishan,5,5,112,213,153.37,59.63,190.18,0.53,15.97,53.24
2026,2026,RM Patidar,4,4,91,195,149.04,45.96,214.29,0.51,15.15,50.5
2026,2026,Priyansh Arya,3,3,39,103,57.97,45.03,264.1,1.15,34.64,115.46
2026,2026,D Padikkal,3,3,62,125,86.66,38.34,201.61,0.62,18.55,61.84
2026,2026,TH David,4,4,60,133,102.93,30.07,221.67,0.5,15.04,50.12
2026,2026,Abhishek Sharma,5,5,60,129,103.4,25.6,215.0,0.43,12.8,42.67
2026,2026,SN Khan,4,4,67,122,97.35,24.65,182.09,0.37,11.04,36.79
2026,2026,SV Samson,5,5,107,185,160.69,24.31,172.9,0.23,6.82,22.72
2026,2026,A Mhatre,5,5,100,171,147.15,23.85,171.0,0.24,7.15,23.85
2026,2026,PD Salt,4,4,74,132,109.32,22.68,178.38,0.31,9.2,30.65
2026,2026,FH Allen,5,5,42,81,59.55,21.45,192.86,0.51,15.32,51.08
2026,2026,SE Rutherford,3,3,46,101,80.66,20.34,219.57,0.44,13.27,44.22
2026,2026,Sameer Rizvi,4,4,108,166,146.21,19.79,153.7,0.18,5.5,18.32
2026,2026,JC Buttler,4,4,111,176,157.4,18.6,158.56,0.17,5.03,16.75
2026,2026,SS Iyer,3,3,73,137,120.12,16.88,187.67,0.23,6.94,23.12
2026,2026,Dhruv Jurel,5,5,99,176,160.39,15.61,177.78,0.16,4.73,15.77
2026,2026,RD Rickelton,4,4,80,135,119.5,15.5,168.75,0.19,5.81,19.37
2026,2026,RG Sharma,4,4,83,137,122.09,14.91,165.06,0.18,5.39,17.96
2026,2026,Nithish Kumar Reddy,5,5,77,124,109.64,14.36,161.04,0.19,5.59,18.64
2026,2026,TU Deshpande,1,1,11,25,12.38,12.62,227.27,1.15,34.43,114.77
2026,2026,MD Choudhary,4,4,57,88,75.53,12.47,154.39,0.22,6.57,21.89
2026,2026,D Ferreira,2,2,47,70,57.72,12.28,148.94,0.26,7.84,26.13
2026,2026,Naman Dhir,4,4,38,59,47.62,11.38,155.26,0.3,8.98,29.95
2026,2026,A Raghuvanshi,5,5,117,182,170.69,11.31,155.56,0.1,2.9,9.67
2026,2026,SA Yadav,4,4,69,106,94.72,11.28,153.62,0.16,4.91,16.35
2026,2026,J Overton,3,3,58,87,76.03,10.97,150.0,0.19,5.67,18.91
2026,2026,AK Markram,4,4,71,108,99.09,8.91,152.11,0.13,3.77,12.55
2026,2026,HH Pandya,3,3,39,67,58.64,8.36,171.79,0.21,6.43,21.44
2026,2026,Aniket Verma,5,5,41,70,61.7,8.3,170.73,0.2,6.07,20.24
2026,2026,R Shepherd,2,2,13,24,15.84,8.16,184.62,0.63,18.83,62.78
2026,2026,KL Rahul,4,4,66,111,103.23,7.77,168.18,0.12,3.53,11.78
2026,2026,V Kohli,4,4,110,179,171.96,7.04,162.73,0.06,1.92,6.4
2026,2026,AM Rahane,5,5,102,152,145.05,6.95,149.02,0.07,2.05,6.82
2026,2026,P Nissanka,4,4,83,127,120.18,6.82,153.01,0.08,2.47,8.22
2026,2026,VR Iyer,1,1,15,29,22.37,6.63,193.33,0.44,13.25,44.17
2026,2026,Ashutosh Sharma,1,1,10,19,13.12,5.88,190.0,0.59,17.64,58.8
2026,2026,C Bosch,1,1,4,11,5.43,5.57,275.0,1.39,41.77,139.24
2026,2026,TM Head,5,5,79,120,114.62,5.38,151.9,0.07,2.04,6.81
