player,shot,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Aniket Verma,On Drive,2,5,5,2,3,0,3,3,40.0,40.0,60.0,0.0,60.0
Aniket Verma,Dab,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Aniket Verma,Push,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Aniket Verma,Defended,0,5,5,4,1,0,5,0,0.0,80.0,20.0,0.0,100.0
Aniket Verma,Cut Shot,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Aniket Verma,Reverse Scoop,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Aniket Verma,Steered,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Anrich Nortje,On Drive,0,1,1,0,1,0,1,1,0.0,0.0,100.0,0.0,100.0
Anshul Kamboj,Pull,15,4,4,2,2,3,0,0,375.0,50.0,50.0,75.0,0.0
Anshul Kamboj,Unknown,13,8,0,0,0,1,1,0,162.5,,,12.5,12.5
Anshul Kamboj,Flick,4,7,7,5,2,0,3,0,57.14,71.43,28.57,0.0,42.86
Anshul Kamboj,On Drive,3,3,3,2,1,0,0,0,100.0,66.67,33.33,0.0,0.0
Anshul Kamboj,Push,2,2,2,0,2,0,0,0,100.0,0.0,100.0,0.0,0.0
Anshul Kamboj,Slog Shot,2,2,2,0,2,0,0,0,100.0,0.0,100.0,0.0,0.0
Anshul Kamboj,Leg Glance,0,2,2,0,2,0,2,0,0.0,0.0,100.0,0.0,100.0
Anshul Kamboj,Cover Drive,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Anshul Kamboj,Defended,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Anukul Roy,On Drive,13,7,7,6,1,1,0,0,185.71,85.71,14.29,14.29,0.0
Anukul Roy,Cover Drive,10,2,2,2,0,2,0,0,500.0,100.0,0.0,100.0,0.0
Anukul Roy,Slog Shot,6,3,3,0,3,1,1,1,200.0,0.0,100.0,33.33,33.33
Anukul Roy,Cut Shot,5,4,4,3,1,0,1,0,125.0,75.0,25.0,0.0,25.0
Anukul Roy,Square Drive,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Anukul Roy,Flick,1,4,4,2,2,0,3,1,25.0,50.0,50.0,0.0,75.0
