season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,balls_faced,actual_runs,expected_runs,runs_above_expected,strike_rate
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,Gujarat Titans,Punjab Kings,M Shahrukh Khan,6,4,8.3,-4.3,66.67
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,Gujarat Titans,Punjab Kings,Rahul Tewatia,10,11,17.74,-6.74,110.0
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,Gujarat Titans,Punjab Kings,Rashid Khan,1,0,5.31,-5.31,0.0
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,Gujarat Titans,Punjab Kings,Sai Sudharsan,11,13,15.76,-2.76,118.18
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,Gujarat Titans,Punjab Kings,Shubman Gill,27,39,40.57,-1.57,144.44
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,Gujarat Titans,Punjab Kings,Washington Sundar,16,18,26.99,-8.99,112.5
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Cooper Connolly,44,72,66.51,5.49,163.64
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Marco Jansen,10,9,15.19,-6.19,90.0
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Marcus Stoinis,2,0,2.12,-2.12,0.0
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Nehal Wadhera,6,3,7.13,-4.13,50.0
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Prabhsimran Singh,24,37,31.85,5.15,154.17
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Priyansh Arya,8,7,9.55,-2.55,87.5
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Shashank Singh,5,4,5.75,-1.75,80.0
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Shreyas Iyer,11,18,13.53,4.47,163.64
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,Punjab Kings,Gujarat Titans,Xavier Bartlett,5,11,5.97,5.03,220.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Abdul Samad,25,36,31.37,4.63,144.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Aiden Markram,8,11,9.67,1.33,137.5
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Anrich Nortje,1,0,0.99,-0.99,0.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Ayush Badoni,3,0,2.91,-2.91,0.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Mitchell Marsh,28,35,39.53,-4.53,125.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Mohammed Shami,2,1,2.13,-1.13,50.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Mohsin Khan,1,0,0.95,-0.95,0.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Mukul Choudhary,11,14,11.83,2.17,127.27
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Nicholas Pooran,8,8,7.89,0.11,100.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Rishabh Pant,9,7,13.12,-6.12,77.78
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Lucknow Super Giants,Delhi Capitals,Shahbaz Ahmed,16,15,19.95,-4.95,93.75
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Delhi Capitals,Lucknow Super Giants,Axar Patel,1,0,1.77,-1.77,0.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Delhi Capitals,Lucknow Super Giants,KL Rahul,1,0,1.03,-1.03,0.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Delhi Capitals,Lucknow Super Giants,Nitish Rana,17,15,27.84,-12.84,88.24
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Delhi Capitals,Lucknow Super Giants,Pathum Nissanka,5,1,7.79,-6.79,20.0
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Delhi Capitals,Lucknow Super Giants,Sameer Rizvi,47,70,63.82,6.18,148.94
2026,2026,1527678,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Delhi Capitals,Lucknow Super Giants,Tristan Stubbs,32,39,40.35,-1.35,121.88
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,21,48,31.76,16.24,228.57
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Aniket Verma,4,1,6.03,-5.03,25.0
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Harsh Dubey,3,9,5.79,3.21,300.0
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Heinrich Klaasen,35,52,64.37,-12.37,148.57
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Ishan Kishan,9,14,11.43,2.57,155.56
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Nitish Kumar Reddy,24,39,38.54,0.46,162.5
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Salil Arora,1,0,1.45,-1.45,0.0
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Shivang Kumar,2,4,2.98,1.02,200.0
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,Travis Head,21,46,34.84,11.16,219.05
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,Ajinkya Rahane,10,8,13.61,-5.61,80.0
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,Angkrish Raghuvanshi,29,52,42.4,9.6,179.31
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,Anukul Roy,2,0,2.3,-2.3,0.0
2026,2026,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,Cameron Green,2,2,2.99,-0.99,100.0
