player,line,length,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Venkatesh Iyer,On The Stumps,Short Of A Good Length,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Venkatesh Iyer,Outside Offstump,Full,1,1,1,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
Venkatesh Iyer,Outside Offstump,Good Length,6,1,1,1,0,1,0,0,600.0,100.0,0.0,100.0,0.0
Venkatesh Iyer,Outside Offstump,Short,4,2,2,1,1,0,0,0,200.0,50.0,50.0,0.0,0.0
Venkatesh Iyer,Outside Offstump,Short Of A Good Length,6,3,3,2,1,1,0,0,200.0,66.67,33.33,33.33,0.0
Venkatesh Iyer,Wide Outside Offstump,Full,8,3,3,2,1,1,1,0,266.67,66.67,33.33,33.33,33.33
Vipraj Nigam,On The Stumps,Full,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Vipraj Nigam,On The Stumps,Full Toss,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Vipraj Nigam,Outside Offstump,Short,4,3,3,1,2,1,2,1,133.33,33.33,66.67,33.33,66.67
Vipraj Nigam,Outside Offstump,Short Of A Good Length,3,2,2,2,0,0,0,0,150.0,100.0,0.0,0.0,0.0
Virat Kohli,Down Leg,Full,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Virat Kohli,Down Leg,Good Length,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Virat Kohli,Down Leg,Short Of A Good Length,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Virat Kohli,On The Stumps,Full,23,10,10,7,3,3,0,0,230.0,70.0,30.0,30.0,0.0
Virat Kohli,On The Stumps,Full Toss,1,3,3,2,1,0,2,0,33.33,66.67,33.33,0.0,66.67
Virat Kohli,On The Stumps,Good Length,16,14,14,9,5,2,6,0,114.29,64.29,35.71,14.29,42.86
Virat Kohli,On The Stumps,Short,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Virat Kohli,On The Stumps,Short Of A Good Length,14,7,7,5,2,2,0,0,200.0,71.43,28.57,28.57,0.0
Virat Kohli,On The Stumps,Yorker,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Virat Kohli,Outside Offstump,Full,16,7,7,5,2,2,0,0,228.57,71.43,28.57,28.57,0.0
Virat Kohli,Outside Offstump,Full Toss,7,4,4,3,1,1,1,1,175.0,75.0,25.0,25.0,25.0
Virat Kohli,Outside Offstump,Good Length,72,35,35,27,8,13,11,2,205.71,77.14,22.86,37.14,31.43
Virat Kohli,Outside Offstump,Short,17,12,12,6,6,3,5,1,141.67,50.0,50.0,25.0,41.67
Virat Kohli,Outside Offstump,Short Of A Good Length,18,16,16,13,3,2,5,0,112.5,81.25,18.75,12.5,31.25
Virat Kohli,Outside Offstump,Yorker,0,2,2,1,1,0,2,0,0.0,50.0,50.0,0.0,100.0
Virat Kohli,Unknown,Unknown,49,34,0,0,0,7,9,1,144.12,,,20.59,26.47
Virat Kohli,Wide Outside Offstump,Full,3,4,4,2,2,0,2,0,75.0,50.0,50.0,0.0,50.0
Virat Kohli,Wide Outside Offstump,Good Length,2,1,1,1,0,0,0,0,200.0,100.0,0.0,0.0,0.0
Virat Kohli,Wide Outside Offstump,Short Of A Good Length,1,2,2,1,1,0,1,0,50.0,50.0,50.0,0.0,50.0
Washington Sundar,Down Leg,Full,8,4,4,2,2,2,2,1,200.0,50.0,50.0,50.0,50.0
Washington Sundar,Down Leg,Good Length,3,2,2,2,0,0,0,0,150.0,100.0,0.0,0.0,0.0
Washington Sundar,Down Leg,Short,10,2,2,1,1,2,0,0,500.0,50.0,50.0,100.0,0.0
Washington Sundar,Down Leg,Short Of A Good Length,1,2,2,1,1,0,1,0,50.0,50.0,50.0,0.0,50.0
Washington Sundar,On The Stumps,Full,15,7,7,6,1,3,1,0,214.29,85.71,14.29,42.86,14.29
Washington Sundar,On The Stumps,Full Toss,10,5,5,5,0,1,0,0,200.0,100.0,0.0,20.0,0.0
Washington Sundar,On The Stumps,Good Length,6,7,7,6,1,0,1,0,85.71,85.71,14.29,0.0,14.29
Washington Sundar,On The Stumps,Short,4,2,2,2,0,1,1,0,200.0,100.0,0.0,50.0,50.0
Washington Sundar,On The Stumps,Short Of A Good Length,19,12,12,10,2,3,3,1,158.33,83.33,16.67,25.0,25.0
Washington Sundar,Outside Offstump,Full,7,4,4,3,1,1,0,0,175.0,75.0,25.0,25.0,0.0
Washington Sundar,Outside Offstump,Full Toss,2,3,3,1,2,0,1,1,66.67,33.33,66.67,0.0,33.33
Washington Sundar,Outside Offstump,Good Length,15,11,11,10,1,1,1,0,136.36,90.91,9.09,9.09,9.09
Washington Sundar,Outside Offstump,Short,0,2,2,2,0,0,2,0,0.0,100.0,0.0,0.0,100.0
Washington Sundar,Outside Offstump,Short Of A Good Length,10,8,8,7,1,1,3,1,125.0,87.5,12.5,12.5,37.5
Washington Sundar,Outside Offstump,Yorker,1,3,3,2,1,0,2,0,33.33,66.67,33.33,0.0,66.67
Washington Sundar,Wide Outside Offstump,Full,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Washington Sundar,Wide Outside Offstump,Full Toss,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Xavier Bartlett,On The Stumps,Full,2,1,1,1,0,0,0,0,200.0,100.0,0.0,0.0,0.0
Xavier Bartlett,Outside Offstump,Good Length,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Xavier Bartlett,Outside Offstump,Short Of A Good Length,7,2,2,2,0,1,0,0,350.0,100.0,0.0,50.0,0.0
Yashasvi Jaiswal,Down Leg,Full,1,1,1,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
Yashasvi Jaiswal,Down Leg,Good Length,17,7,7,6,1,3,1,0,242.86,85.71,14.29,42.86,14.29
Yashasvi Jaiswal,Down Leg,Short,9,5,5,4,1,1,1,0,180.0,80.0,20.0,20.0,20.0
Yashasvi Jaiswal,Down Leg,Short Of A Good Length,8,5,5,3,2,1,2,0,160.0,60.0,40.0,20.0,40.0
Yashasvi Jaiswal,On The Stumps,Full,9,7,7,6,1,1,3,0,128.57,85.71,14.29,14.29,42.86
Yashasvi Jaiswal,On The Stumps,Full Toss,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Yashasvi Jaiswal,On The Stumps,Good Length,14,14,14,8,6,2,9,2,100.0,57.14,42.86,14.29,64.29
Yashasvi Jaiswal,On The Stumps,Short,7,4,4,2,2,1,1,0,175.0,50.0,50.0,25.0,25.0
Yashasvi Jaiswal,On The Stumps,Short Of A Good Length,16,9,9,8,1,3,2,0,177.78,88.89,11.11,33.33,22.22
Yashasvi Jaiswal,On The Stumps,Yorker,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Yashasvi Jaiswal,Outside Offstump,Full,19,9,9,9,0,4,2,0,211.11,100.0,0.0,44.44,22.22
Yashasvi Jaiswal,Outside Offstump,Full Toss,8,2,2,2,0,2,0,0,400.0,100.0,0.0,100.0,0.0
Yashasvi Jaiswal,Outside Offstump,Good Length,42,22,22,14,8,7,9,0,190.91,63.64,36.36,31.82,40.91
Yashasvi Jaiswal,Outside Offstump,Short,11,4,4,3,1,2,1,0,275.0,75.0,25.0,50.0,25.0
Yashasvi Jaiswal,Outside Offstump,Short Of A Good Length,11,13,13,12,1,1,7,0,84.62,92.31,7.69,7.69,53.85
Yashasvi Jaiswal,Outside Offstump,Yorker,3,4,4,2,2,0,1,0,75.0,50.0,50.0,0.0,25.0
Yashasvi Jaiswal,Unknown,Unknown,1,5,0,0,0,0,4,1,20.0,,,0.0,80.0
Yashasvi Jaiswal,Wide Outside Offstump,Full Toss,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Yashasvi Jaiswal,Wide Outside Offstump,Good Length,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Yashasvi Jaiswal,Wide Outside Offstump,Short Of A Good Length,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
