season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,own_15_ball_phase,phase_label,runs,balls,expected_runs,runs_above_expected,innings_runs,strike_rate,expected_sr,runs_above_expected_per_100,player_innings_ball_range
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Sarfaraz Khan,1,1-15,32,15,19.11,12.89,32,213.33,127.43,85.9,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Sarfaraz Khan,2,16-30,18,10,16.63,1.37,18,180.0,166.25,13.75,16-30
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Shivam Dube,1,1-15,18,13,15.57,2.43,18,138.46,119.81,18.65,1-15
2026,2026,1527685,2026-04-06,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Punjab Kings,Ajinkya Rahane,1,1-15,8,6,6.96,1.04,8,133.33,115.94,17.4,1-15
2026,2026,1527685,2026-04-06,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Punjab Kings,Angkrish Raghuvanshi,1,1-15,7,7,7.87,-0.87,7,100.0,112.37,-12.37,1-15
2026,2026,1527685,2026-04-06,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Punjab Kings,Cameron Green,1,1-15,4,2,2.31,1.69,4,200.0,115.29,84.71,1-15
2026,2026,1527685,2026-04-06,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Punjab Kings,Finn Allen,1,1-15,6,7,8.88,-2.88,6,85.71,126.91,-41.19,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",1,Rajasthan Royals,Mumbai Indians,Dhruv Jurel,1,1-15,2,3,3.46,-1.46,2,66.67,115.37,-48.71,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",1,Rajasthan Royals,Mumbai Indians,Riyan Parag,1,1-15,20,10,12.88,7.12,20,200.0,128.8,71.2,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",1,Rajasthan Royals,Mumbai Indians,Shimron Hetmyer,1,1-15,6,7,9.14,-3.14,6,85.71,130.54,-44.83,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",1,Rajasthan Royals,Mumbai Indians,Vaibhav Sooryavanshi,1,1-15,39,14,20.38,18.62,39,278.57,145.58,132.99,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",1,Rajasthan Royals,Mumbai Indians,Yashasvi Jaiswal,1,1-15,39,15,22.74,16.26,39,260.0,151.6,108.4,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",1,Rajasthan Royals,Mumbai Indians,Yashasvi Jaiswal,2,16-30,30,15,24.2,5.8,30,200.0,161.31,38.69,16-30
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",1,Rajasthan Royals,Mumbai Indians,Yashasvi Jaiswal,3,31-45,8,2,3.34,4.66,8,400.0,167.03,232.97,31-45
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Deepak Chahar,1,1-15,6,5,5.52,0.48,6,120.0,110.45,9.55,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Hardik Pandya,1,1-15,9,6,6.34,2.66,9,150.0,105.74,44.26,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Jasprit Bumrah,1,1-15,5,2,2.14,2.86,5,250.0,106.87,143.13,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Naman Dhir,1,1-15,25,13,13.29,11.71,25,192.31,102.24,90.07,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Rohit Sharma,1,1-15,5,6,7.15,-2.15,5,83.33,119.23,-35.9,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Ryan Rickelton,1,1-15,8,4,4.72,3.28,8,200.0,118.08,81.92,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Shardul Thakur,1,1-15,8,7,7.78,0.22,8,114.29,111.19,3.1,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Sherfane Rutherford,1,1-15,25,8,8.37,16.63,25,312.5,104.65,207.85,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Suryakumar Yadav,1,1-15,6,3,3.24,2.76,6,200.0,107.9,92.1,1-15
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Tilak Varma,1,1-15,14,10,11.29,2.71,14,140.0,112.85,27.15,1-15
